text,class,score
hopper a hopper is a virtual creature that visits java programs and explores their arrays scientists observed a hopper and came to the following conclusions a hopper only visits arrays with integer entries a hopper always explores a sequence of array elements using the following rules a hopper cannot jump too far that is the next element is always at most d indices away how far a hopper can jump depends on the length of its legs a hopper doesn t like big changes in values the next element differs from the current element by at most m more precisely the absolute value of the difference is at most m how big a change in values a hopper can handle depends on the length of its arms and a hopper never visits the same element twice a hopper will explore the array with the longest exploration sequence the scientists now need to prepare arrays for further study of hoppers and they need your help they want a program that given an array and values d and m computes the length of the longest exploration sequence in the array the first line contains three numbers n d m where n is the length of the array as described above d is the maximum length of a jump the hopper can make and m is the maximum difference in values a hopper can handle the next line contains n integers the entries of the array we have 1 leq d leq 7 1 leq m leq 10 000 1 leq n leq 1 000 and the integers in the array are between 1 000 000 and 1 000 000 the output contains one line the length of the longest exploration sequence the hopper can start and end at any location and the length is computed as the number of visited locations,hard,9.5
ligatures vivi works as a font designer she is almost done with her new masterpiece but thinks that something is missing she has therefore decided to add some ligatures a ligature occurs when two characters are combined into a single glyph for example ff often becomes and ae would sometimes become in old latin writing vivi knows the importance of choosing the right ligature with luck maybe her ligature will become as lasting as the ligature which comes from the latin word et meaning and typically ligatures are selected for character pairs that occur often a good set of ligatures will not include too many unique ligatures but will result in many occurrences taking this task very seriously vivi has come up with q suggestions for possible ligature sets with k ligatures in each she now asks you to test each of her suggestions against her corpus and determine the number of ligature occurrences for each suggested set it is important to note that the corpus is read from left to right and ligatures can t be combined thus with ligatures for ab bc and cd the string abcd would count as having just two ligature occurrences the one for bc would never get used the first line of the input contains three integers n the size of the corpus 1 le n le 10 6 q the number of suggestions 1 le q le 10 5 and k the number of ligatures in each suggested set 1 le k le 20 for each suggested ligature set output a line with the number of ligature occurrences within the corpus if the corpus is read from left to right and the given ligatures are applied,hard,9.5
dictionary compression in the menu to the right you are able to download an english dictionary dict txt containing a sorted list of words one per line your task is to write a program that outputs a prefix of the dictionary that is as long as possible there is no input for this problem output a number of lines each containing a word from the dictionary the words must form a prefix of the entire file,hard,9.5
travelling salesperson 2d your program should take as input a single tsp instance it will be run several times once for every test case the time limit is per test case standard output should consist of n lines the i th of which should contain the 0 based index of the i th point visited,hard,9.5
berry battle 2 erik and his grandpa often go to the forest to pick blueberries grandpa always finds the most berries and even though it is not a competition erik has had enough of this he has observed that grandpa uses a simple greedy strategy to pick as many berries as possible with this information erik will try to finally pick at least as many berries as grandpa the blueberry shrubs can be represented as a string s s 1s 2 dots s n of length n 10 5 consisting of characters and b if s i b then there is a berry at position i otherwise there is no berry there there will be exactly n 2 berries to start with and they are distributed uniformly at random the berry picking takes place in turns in one move a person can choose a position i 1 leq i leq n 3 and pick all the berries at positions i i 1 i 2 and i 3 grandpa makes the first move then erik makes a move then grandpa and so on grandpa will always greedily make a move that picks as many berries as possible among all such moves he will pick one uniformly at random you are given the string s and your task is to write a program that decides what moves erik should make in order to pick at least as many berries as grandpa,hard,9.4
air rally baxter and forthington are playing badminton the only correct way ten thousand feet in the air they intend to rally the shuttlecock back and forth while cruising side by side at a constant speed for simplicity assume that they cruise at one distance unit per second forthington hits the shuttlecock first then it alternates between the two of them the rally ends when they have cruised m distance units that is once m or more distance units have been traveled whoever is supposed to continue the rally when the shuttlecock arrives will catch it instead of hitting it back every time baxter hits the shuttlecock it will remain in the air for s 1 seconds when forthington returns it the shuttlecock will remain in the air for s 2 seconds this would be simple enough but today s weather forecast predicts that the sky may become very cloudy clouds obscure vision and make hitting the shuttlecock difficult when there is a cloud of haziness h in baxter or forthington s position at the time she or he hits the shuttlecock the shuttlecock will be hit harder and remain in the air for h more seconds than usual there are q weather updates today in the i text th update either a cloud with haziness h i appears at position p i distance units from the start or the cloud at position p i distance units from the start disappears after each weather update please determine how long in terms of the number of hits the rally will last,hard,9.4
pipes the construction of office buildings has become a very standardized task pre fabricated modules are combined according to the customer s needs shipped from a faraway factory and assembled on the construction site however there are still some tasks that require careful planning one example being the routing of pipes for the heating system a modern office building is made up of square modules one on each floor being a service module from which among other things hot water is pumped out to the other modules through the heating pipes each module including the service module will have heating pipes connecting it to exactly two of its two to four neighboring modules thus the pipes have to run in a circuit from the service module visiting each module exactly once before finally returning to the service module due to different properties of the modules having pipes connecting a pair of adjacent modules comes at different costs for example some modules are separated by thick walls increasing the cost of laying pipes your task is to given a description of a floor of an office building decide the cheapest way to route the heating pipes the first line of input contains a single integer n stating the number of floors to handle then follow n floor descriptions each beginning on a new line with two integers 2 le r le 10 and 2 le c le 10 defining the size of the floor r times c modules beginning on the next line follows a floor description in ascii format in total 2r 1 rows each with 2c 2 characters count includes the final newline all floors are perfectly rectangular and will always have an even number of modules all interior walls are represented by numeric characters 0 to 9 indicating the cost of routing pipes through the wall see sample input for each test case output a single line with the cost of the cheapest route,hard,9.4
balanced cut professor anna van lier is preparing to give a lecture on balanced binary search trees recall that these are binary trees with two properties balanced tree for every node the height of its left subtree and the height of its right subtree differ by at most 1 for instance in figure 1 the left and right subtrees of node 7 have heights 2 and 1 respectively if a node does not have a left or right subtree then that subtree is considered to have height 0 search tree each node has a value the value of a node is greater than all the values in the left subtree of the node and smaller than all the values in the right subtree of the node for instance in figure 1 the left subtree of node 7 contains the values 4 5 and 6 which are all smaller than 7 anna got a picture of such a tree from a colleague this tree has n nodes with the values 1 to n however it turns out to be too big to fit on her slides so she would like to make it smaller in particular she would like to erase some nodes from the tree such that it has exactly k remaining nodes whenever she erases a node she also erases the subtrees of that node of course the resulting tree must still be a balanced binary search tree for pedagogical purposes anna would like the node values in her final tree to be small therefore she wants the list of the k remaining node values to be the lexicographically smallest possible for example she would prefer a tree containing values 2 5 9 over a tree containing values 2 6 7 as anna is far too busy doing more important things the task of finding which nodes to erase falls upon one of her teaching assistants i e you the input consists of output a single line with a binary string of length n the i th character should be 1 if the node with value i should be kept and 0 if it should be erased,hard,9.4
magical string lajuk loves to play with magic especially with a magical string a magical string consists of n lowercase english characters which has no substring containing 3 or more identical characters e g aabbaacbb icpc asia singapore are magical strings on the other hand waaaah and singapooore are not magical strings as they contain aaaa in the first example and ooo in the second example we can convert any character in the magical string into any other character as long as the direct consequence of the conversion results in some substring containing 3 or more identical characters when this happens that particular substring which contains identical characters of the maximum length will magically transform into an asterisk character this is the reason why it is called a magical string for example consider a magical string s 1 7 cabacbc if we convert the third character b into a then the substring s 2 4 becomes aaa which contains 3 identical characters this substring is then transformed into an asterisk and the string becomes c cbc note that the asterisk character does not have any magical power i e we cannot convert any asterisk character and no asterisk character will ever be transformed e g when there are 3 consecutive asterisk characters nothing happens basically asterisk characters are dead now let s move on to the fun part lajuk gives you a magical string s and an integer k your task is to convert at most k characters one at a time in the string such that the total number of characters which are transformed into asterisks is as large as possible in the example above cabacbc if k 2 then the output is 6 i e convert s 3 from b into a 3 characters turn into an asterisk and convert s 6 from b into c 3 characters turn into an asterisk input begins with an integer t 1 le t le 50 representing the number of cases each case contains a magical string s 1 le s le 1 000 followed by an integer k 1 le k le 1 000 separated by a single space in a line the string s contains only lowercase english characters a z for each case output in a line containing one integer representing the maximum number of characters in the given magical string which can be turned into asterisks by converting at most k characters,hard,9.4
kingdom of kittens in a country far far away there are so many cats the cats quickly dominate the whole area they can even overwhelm humans mature cats plan to establish their own kingdom for their own kittens the first thing to do is setting the border of their kingdom one day they looked around and found n beautiful bushes they decided to use these bushes to mark the border of their kingdom unfortunately cats are not so good at geometry they do not know any shapes except triangles hence they would like to know if they can make a triangle border containing all of these bushes the triangle border must have positive area please help them more formally given n points on a cartesian coordinate plane you should determine if there exists a triangle where all these points are on its sides points are allowed to coincide with any of the triangle s vertices although all n points have integer coordinates the triangle s vertices do not need to have integer coordinates the input contains multiple test cases each test case is described as below for each test case print yes if there is a triangle satisfying the above constraints otherwise print no,hard,9.4
text processor in s is new to programming she is writing a simple application to handle text so far the app only supports adding text to a blank document rita her restless little sister is fascinated with all the different symbols on in s screen and wants to play with it not letting in s work any longer in order to be able to continue working in s decides to turn it into a game for rita in s will let rita write whatever she likes in the app then in s will select portions of the document with width w and challenge rita to guess how many distinct sequences of symbols there are in that portion of text rita is excited to play but there is a problem in s doesn t know yet how to write a program to find the right answer for her own questions can you help her out the first line of the input contains the text written by rita the text is composed only by letters a z the second line has two space separated integers q and w q is the number of questions and w the fixed width of in s questions each of the following q lines contains a single integer i describing a question to know the number of distinct substrings in the range i i w 1 the output contains the answer to each question in the same order as in the input one per line,hard,9.4
old school days i don t know how you feel about your school time but i become maudlin when i remember those days one of our teachers told us at the final year that among all the educational institutions in life one misses his her school days the most and yes i miss those days a lot let me tell you that we had a grid board in our school and it was not as banal as it looks in the picture the board was colorful and we also had different color chalks to use on it can you imagine how exciting it was for me when i first saw this board in class break we used to draw on this board and play different games few of them i can recall one of them was like this firstly two players will mark some grid points then they will toss deciding who plays first at each turn a player marks four points as a b c and d then join a b b c c d and d a to form a quadrilateral twice of the area of that quadrilateral is added to his score and the turn changes in case if you are wondering why twice it is just to ensure that the score is always integer a player can not draw a quadrilateral if it was drawn before however you can use previously used points for example suppose there are 5 points on the grid p q r s and t first player can choose a b c d p q r s but then the second player can not choose a b c d r s p q because both of them depict the same quadrilateral if both of the players play optimally to maximize their own score i wonder what could be the sum of their scores so your task is to construe this game you are given coordinates of n distinct points if two players play the above mentioned game optimally then what is the sum of their scores the first line contains a positive integer n n leq 700 hence follows n coordinates of the points x y in case you don t know i should say i am not from your time i was brought here by a few scientists from future and in my time we use huge boards so the absolute value of the coordinates can be as large as 10 6 just to ensure that no one can draw a degenerate quadrilateral no three points will be collinear output the sum of the scores since this score can be huge just print the answer modulo 1 000 003,hard,9.4
call a cab tourists in the numerous welsh valleys are in need of an it solution to their transportation troubles they want to see all the local points of interest pois in a specific order already set out by their trusty tour guides visitors have to rely on various types of transportation car rickshaw donkey cart etc these are only available on call which is unfortunate as the poor mobile reception in the depths of the idyllic valleys means transportation type can only change at a poi further a driver will only offer tourists transportation between points p i p i 1 p j 1 p j under the following conditions minimum distance if the distance is less than a given threshold d mathrm min the itinerary wouldn t be worth the time of the driver that is the total distance of the itinerary d i d i 1 ldots d j 1 with d m the distance between p m and p m 1 has to be at least d mathrm min maximum heading range not going straight is perceived as annoying by the cabbies so the directions traveled can only vary within at most a certain integer amount of r mathrm max degrees what the tourists want is a transportation switching scheme which is a list of increasing indices s 0 s k where points p s i are the locations to switch the type of transportation the same transportation type can be used more than once but another instance of the same type will need to be hailed once the original driver has had enough one line containing the number of modes of transportation t 1 le t leq 200 followed by the number n 1 le n leq 5 cdot 10 4 of points we visit write one line containing one number k the minimal number of times we have to call for a new type of transportation to visit all n points in the given order if this is possible if not output impossible,hard,9.4
towers of powers 2 power harder remark we were originally planning to give you this in the real contest but since we have too many awesome problems for you for tomorrow and this one is just way too easy we decided to move it to the dress rehearsal as a sneak preview in this problem we will be exploring the concept of sorting numbers most of you have likely written a sorting algorithm before but just in case here is a tutorial you reorder the numbers to put the smaller ones in front and larger ones in the back having dealt with the theory we come to practice you will be given some integers please output the same integers in sorted order where is the trick you ask well you might have to deal with equality cases if two numbers are equal the one that was the first in the input should also be the first on the output other than that there are no tricks no complications just sort the numbers from lowest to highest simple oh one more thing when we say some integers we mean they might be somewhat large integers to make life easier for you we will express them in a simple tower of powers form each integer will be in the format where 1 leq a 1 a 2 ldots a n leq 100 and 1 leq n leq 100 note that evaluation is from top to bottom thus are you done yet no better start working the input consists of a single test case the first line of each test case contains the number m of integers in this test case 1 leq m leq 100 each of the next m lines describes one of the m integers the integer is written as described above using the caret to represent power with no whitespace there will be between 1 and 100 numbers in the representation of each integer and each of these numbers will be an integer between 1 and 100 display the case number 1 followed by the sorted list of integers one per line in the original form,hard,9.4
fancy fence as laser fences are rather expensive l kas can only afford to upgrade k of the fence posts to laser fence posts if a set of posts are upgraded the lasers will protect all the onions lying strictly within the convex hull of the selected fence posts this may not be all of the onions though l kas wonders which posts he should upgrade if he wants to protect as many of his n onions as possible the original fence has the shape of a convex polygon with m fence posts as vertices and all the onions lie strictly within the fence the first line of input consists of three space separated integers 3 le n le 10 000 3 le m le 400 and 3 le k le 400 these are the number of onions the number of old fence posts and the number of fence posts l kas can upgrade output should be a single integer the maximum number of onions l kas can protect,hard,9.4
astronomer the astronomer has a passion for stargazing in particular he gets immense pleasure out of gazing at k stars simultaneously through his telescope building a telescope with radius r costs t cdot r kroner a newly built telescope will point exactly at the origin 0 0 moving it to point somewhere else also takes effort shifting the telescope a distance of d units incurs a cost of s cdot d kroner the astronomer can observe all stars at distance at most r from where the telescope points how much does it cost to build and move a telescope that allows k stars to be observed at once all coordinates and distances are given in the euclidean plane the first line consists of four integers the number k of stars the astronomer wants to observe the number n of stars in tonight s sky the shifting cost s and the telescope building cost t then follow n lines where the i th line contains the integer coordinates x i and y i of the i th star a single real number the minimum number of kroner that the astronomer needs to spend,hard,9.4
worm worries you are looking for a place in the soil to put your pet worm maximus you limit your search to a box shaped region with dimensions n times m times k centimeters which you have divided into a three dimensional grid of cube centimeter cells labeled x y z after their position in the grid 1 le x le n 1 le y le m 1 le z le k each cell has a certain humidity h x y z which is an integer in the range 1 dots 10 9 you can measure the humidity of any cell with a special sensor maximus loves humid places so you need to put him in a cell which is at least as humid as its neighboring cells otherwise he goes away and you will have trouble finding him in other words you need to place maximus in a local maximum more precisely you need to find a cell x y z such that where a value is treated as 0 when it is outside the box because maximus absolutely wants to stay in the box however the number of cells can be very large so you do not want to measure the humidity of all the cells therefore in this task you are allowed to interact with the grader and ask for the humidity at given points when you have found a suitable location for maximus give that location to the grader,hard,9.4
scientific grading you recently started working as a ta teaching assistant for your university s scientific computing class today professor introduced the scientific notation where numbers are written in the form m times 10 n with a real number m the significand and an integer n the exponent at the end of class she gave students the following assignment given two numbers x y in scientific notation perform the following four arithmetic operations x y x y x times y x y as a strict grader you decided to write a program to grade students answers you mark a solution correct if and only if both relative and absolute errors are less than 10 9 not including 10 9 if the correct answer is 0 then 0 is the only acceptable answer otherwise a student s answer z will be compared to the correct answer tilde z and the relative and absolute errors are computed as frac z tilde z tilde z and z tilde z respectively the first line of input contains the value of x and the second line contains the value of y the next four lines contain a student s answer to x y x y x times y and x y all numbers are in the form of significand e exponent the significand m starts with a sign or followed by one digit a period and exactly nine digits the exponent n also starts with a sign or and is followed by an integer between 0 and 10 9 inclusively the value is computed by m times 10 n the value 0 is always represented as 0 000000000e 0 and for any nonzero values the first digit of their significand is not 0 it is guaranteed that x and y are both nonzero for each student solution output correct if it is considered correct and incorrect otherwise the first line of output indicates if the student s solution to x y is correct the second line indicates if their solution to x y is correct the third line indicates if their solution to x times y is correct and the fourth line indicates if their solution to x y is correct,hard,9.3
magical distances there are n cities in the magical island numbered from 1 to n these cities are connected by m bi directional roads such that there exists a path between every pair of cities there may be multiple roads between two cities each road has a positive length magical crystals are the most important resources transported between the cities in the magical island the cost of sending one magical crystal from city s to city t equals the smallest distance of any path between city s and city t the distance of a path in the magical island is a bit special though it is the bitwise or value of all the road lengths on this path in each of the next q days exactly one magical crystal will be transported between a pair of cities help the magical island figure out the transportation cost for each day the first line contains two integers n m 2 leq n leq 10 5 1 leq m leq n 200 each of the next m lines contains three integers a b w that describe a road connecting city a and city b with length w 1 leq a b leq n a neq b 1 leq w leq 10 9 in the next line there is a single integer q 1 leq q leq 10 000 the number of days to consider the next q lines each have two integers s and t 1 leq s t leq n s neq t the i th line indicates that on day i a crystal is sent from city s to city t for each of the q days output the cost of sending the crystal from s to t for that day,hard,9.3
firing the phaser you start charging the phaser beam and retrieve the room layout of the flagship from the archives you are situated directly above the enemy from where the layout of the flagship can be modeled by a two dimensional map of the rooms of the flagship in this map each room is a rectangle with sides parallel to the x and y axes rectilinear and no two rooms intersect not even in a single point the phaser beam is configured by giving a point x y and an angle vartheta the phaser beam will start at x y and travel a distance ell in the direction specified by vartheta causing severe damage to every room touched by the phaser beam due to this you aim at hitting as many rooms as possible the phaser beam is almost fully charged and the only missing piece is an optimal configuration of the weapon unfortunately it turns out to be harder than you expected however there are still ten seconds before the charging is completed and hence you decide to make a computer program to solve the problem the first line of input consists of two integers r and ell 1 le r le 15 1 le ell le 1 000 where r is the number of rooms in the flagship and ell is the length of a shot of the phaser output one line with the maximum number of rooms that can be hit by one phaser beam recall that if the beam touches a room it is counted as a hit,hard,9.3
magical mystery knight s tour a knight s tour on a rectangular board of n rows and m columns of squares traditionally 8 by 8 is a labelling of the squares by integers 1 through n cdot m so that label n 1 is a knight s move from label n that is 2 squares horizontally and 1 square vertically or 1 square horizontally and 2 squares vertically the image below shows an 8 by 8 knight s tour a knight s tour on a square board is semi magical if the sum of the values in each row and column is the same for the 8 by 8 case the sum would be 260 for this problem you will be given a sequence of semi magical 8 by 8 knight s tours with many of the labels removed see the image below write a program to fill in the missing labels so the knight s tour is semi magical the input contains a single data set consisting of 8 lines of input each line contains 8 integers separated by spaces giving the labels for the corresponding row if the label value is 1 the label has been removed and your program is to find the correct value to put in that place there will be at most 45 removed labels with the value 1 you may assume that the starting point of the tour labeled 1 was not removed and thus appears in the input output 8 lines containing 8 integers each separated by spaces filling in the removed values to give a complete semi magical knight s tour which includes the positive labels from the input there may be multiple correct answers your result will be graded correct if it is a semi magical knight s tour and the positive labels from the input are in the same square in your answer,hard,9.3
maximum expression there is an expression with n question marks and n 1 operators between them the operators only include addition subtraction and multiplication here is an example you are going to replace every question mark with a digit from 0 1 2 after the replacement there should be exactly n 0 n 1 and n 2 occurrences of 0 1 and 2 respectively can you maximize the value of the expression by finding the best arrangement of the digits the first line has a single integer n 2 leq n leq 5 000 the second line gives the expression with no white spaces between characters the third line has three non negative integers n 0 n 1 and n 2 n 0 n 1 n 2 n output the maximum value of the expression,hard,9.3
